EA 140,150,5,5,"100,67","209,729166666667",0,0,0,0,0,0,0,0,2,6,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,164,246,0,0,0,0,2,14,109,"254,333333333333",2,"2,5",315,"131,25",0,0,0,0,0,0,0,0,2,1,389,"64,8333333333333",0,0,0,0,0,0,0,0,1,55,69,"316,25",30,1,65,"162,5",12,1600,1600,12,1930,1930,5,140,"58,3333333333333",5,382,"159,166666666667"
EA 141,150,5,5,"100,67","209,729166666667",0,0,0,0,0,0,0,0,2,6,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,164,246,0,0,0,0,2,14,109,"254,333333333333",2,"2,5",315,"131,25",0,0,0,0,0,0,0,0,2,1,389,"64,8333333333333",0,0,0,0,0,0,0,0,1,55,69,"316,25",30,1,65,"162,5",12,1600,1600,12,1930,1930,10,140,"116,666666666667",5,382,"159,166666666667"
EA 142,150,10,5,"100,67","419,458333333333",0,0,0,0,0,0,0,0,2,6,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,164,246,0,0,0,0,2,14,109,"254,333333333333",2,"2,5",315,"131,25",0,0,0,0,0,0,0,0,2,1,389,"64,8333333333333",0,0,0,0,0,0,0,0,1,55,69,"316,25",30,1,65,"162,5",12,1600,1600,12,1930,1930,6,140,70,10,382,"318,333333333333"
EA 144,340,6,38,"100,67","1912,73",0,0,0,0,0,0,0,0,2,18,123,369,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,164,492,0,0,0,0,2,40,109,"726,666666666667",2,3,315,"157,5",0,0,0,0,0,0,0,0,2,1,389,"64,8333333333333",0,0,0,0,0,0,0,0,1,55,69,"316,25",30,1,65,"162,5",12,"11977,2","11977,2",12,3253,3253,6,2798,1399,6,967,"483,5"
EA 145,340,6,38,"100,67","1912,73",0,0,0,0,0,0,0,0,2,18,123,369,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,164,492,0,0,0,0,2,40,109,"726,666666666667",2,"3,5",315,"183,75",0,0,0,0,0,0,0,0,2,1,389,"64,8333333333333",0,0,0,0,0,0,0,0,1,76,69,437,30,1,65,"162,5",12,"11977,2","11977,2",12,3253,3253,6,2798,1399,6,967,"483,5"
EA 146,340,6,38,"100,67","1912,73",0,0,0,0,0,0,0,0,2,18,123,369,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,164,492,0,0,0,0,2,40,109,"726,666666666667",2,"3,5",315,"183,75",0,0,0,0,0,0,0,0,2,1,389,"64,8333333333333",0,0,0,0,0,0,0,0,1,76,69,437,30,1,65,"162,5",12,"11977,2","11977,2",12,3253,3253,6,2798,1399,6,967,"483,5"
EA 147,340,6,38,"100,67","1912,73",0,0,0,0,0,0,0,0,2,18,123,369,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,164,492,0,0,0,0,2,40,109,"726,666666666667",2,"3,5",315,"183,75",0,0,0,0,0,0,0,0,2,1,389,"64,8333333333333",0,0,0,0,0,0,0,0,1,89,69,"511,75",30,1,65,"162,5",12,"11977,2","11977,2",12,3253,3253,6,2798,1399,6,967,"483,5"
EA 148,340,6,38,"100,67","1912,73",0,0,0,0,0,0,0,0,2,18,123,369,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,164,492,0,0,0,0,2,40,109,"726,666666666667",2,"3,5",315,"183,75",0,0,0,0,0,0,0,0,2,1,389,"64,8333333333333",0,0,0,0,0,0,0,0,1,110,69,"632,5",30,1,65,"162,5",12,"11977,2","11977,2",12,3253,3253,10,2798,"2331,66666666667",6,967,"483,5"
EA 149,340,6,38,"100,67","1912,73",0,0,0,0,0,0,0,0,2,18,123,369,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,164,492,0,0,0,0,2,40,109,"726,666666666667",2,"3,5",315,"183,75",0,0,0,0,0,0,0,0,2,1,389,"64,8333333333333",0,0,0,0,0,0,0,0,1,110,69,"632,5",30,1,65,"162,5",12,"11977,2","11977,2",12,3253,3253,10,2798,"2331,66666666667",6,967,"483,5"
EA 150,170,10,"16,4","100,67","1375,82333333333",0,0,0,0,0,0,0,0,2,9,123,"184,5",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,164,"382,666666666667",0,0,0,0,2,"26,6",109,"483,233333333333",2,"3,5",315,"183,75",0,0,0,0,0,0,0,0,2,1,389,"64,8333333333333",0,0,0,0,0,0,0,0,1,135,69,"776,25",30,1,65,"162,5",12,1940,1940,12,975,975,6,140,70,10,327,"272,5"
