EV 313,"4,5","1,2","169,56","22381,92"
EV 314,"4,5","1,2","169,56","22381,92"
EV 318,"4,5","1,2","169,56","22381,92"
EV 319,"4,5","1,2","169,56","22381,92"
EV 320,"4,5","1,2","169,56","22381,92"
EV 321,"4,5","1,2","169,56","22381,92"
EV 322,"4,5","1,2","169,56","22381,92"
EV 323,"4,5","1,2","169,56","22381,92"
EV 411,6,"1,2","226,08","29842,56"
EV 413,6,"1,2","226,08","29842,56"
EV 414,6,"1,2","226,08","29842,56"
EV 415,6,"1,2","226,08","29842,56"
EV 416,6,"1,2","226,08","29842,56"
EV 417,6,"1,2","226,08","29842,56"
EV 418,6,"1,2","226,08","29842,56"
EV 419,6,"1,2","226,08","29842,56"
EV 420,6,"1,2","226,08","29842,56"
EV 506,6,"1,2","226,08","29842,56"
EV 509,6,"1,2","226,08","29842,56"
EV 510,6,"1,2","226,08","29842,56"
EV 511,6,"1,2","226,08","29842,56"
EV 512,6,"1,2","226,08","29842,56"
EV 513,6,"1,2","226,08","29842,56"
EV 514,6,"1,2","226,08","29842,56"
EV 515,6,"1,2","226,08","29842,56"
EV 516,6,"1,2","226,08","29842,56"
EV 605,"3,5","1,2","131,88","17408,16"
EV 607,"3,5","1,2","131,88","17408,16"
EV 608,"3,5","1,2","131,88","17408,16"
EV 610,"3,5","1,2","131,88","17408,16"
EV 611,"3,5","1,2","131,88","17408,16"
EV 705,5,"1,1","172,7","22796,4"
EV 706,5,"1,1","172,7","22796,4"
EV 707,5,"1,1","172,7","22796,4"
EV 708,5,"1,1","172,7","22796,4"
EV 709,5,"1,1","172,7","22796,4"
EV 710,5,"1,1","172,7","22796,4"
EV 711,5,"1,1","172,7","22796,4"
