EA 212,720,8,2,295-80-16,10000,"111,111111111111","13333,3333333333",,,,,0,0,0,"111,111111111111","13333,3333333333"
EA 213,720,12,2,295-80-16,10000,"166,666666666667",20000,,,,,0,0,0,"166,666666666667",20000
EA 214,720,12,2,295-80-16,10000,"166,666666666667",20000,,,,,0,0,0,"166,666666666667",20000
EA 215,720,12,2,295-80-16,10000,"166,666666666667",20000,,,,,0,0,0,"166,666666666667",20000
EA 216,720,12,2,295-80-16,10000,"166,666666666667",20000,,,,,0,0,0,"166,666666666667",20000
EA 217,720,12,2,295-80-16,10000,"166,666666666667",20000,,,,,0,0,0,"166,666666666667",20000
EA 353,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 358,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 359,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 360,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 364,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 366,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 369,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 370,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 371,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 376,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 378,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 379,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 380,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 381,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 382,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 388,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 389,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 390,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 391,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 392,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 393,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 394,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 395,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 396,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 397,1500,4,"0,96",215-80-16,4000,"10,6666666666667",1280,,,,,0,0,0,"10,6666666666667",1280
EA 398,1500,6,"0,96",205-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
EA 399,1500,6,"0,96",205-80-16,3800,"15,2",1824,,,,,0,0,0,"15,2",1824
